a,Виртуелизација,летен,Трета
a,Агентно-базирани системи,летен,Трета
a,Безжични мултимедиски системи,летен,Трета
a,Вградливи микропроцесорски системи,летен,Трета
a,Вовед во мрежна наука,летен,Трета
a,Дигитална форензика,летен,Трета
a,Дизајн на интеракцијата човек-компјутер,летен,Трета
a,Електронска и мобилна трговија,летен,Трета
a,Инфраструктурно програмирање,летен,Трета
a,Континуирана интеграција и испорака,летен,Трета
a,Криптографија,летен,Трета
a,Мерење и анализа на интернет сообраќај,летен,Трета
a,Мултимедиски системи,летен,Трета
a,Сервисно ориентирани архитектури,летен,Трета
a,Софтверски дефинирана безбедност,летен,Трета
a,Персонализирано учење,летен,Трета
a,Психологија на училишна возраст,летен,Трета
a,Работа со надарени ученици,летен,Трета
a,Виртуелизација,летен,Трета
a,Дигитални библиотеки,летен,Трета
a,Софтверски квалитет и тестирање,летен,Трета
a,Учење на далечина,летен,Трета
a,Дизајн на интеракцијата човек-компјутер ,летен,Трета
a,Машинско учење,летен,Трета
a,Формални јазици и автомати,летен,Трета
a,Администрација на мрежи,летен,Трета
a,Географски информациски системи,летен,Трета
a,Интегрирани системи,летен,Трета
a,Паралелно програмирање,летен,Трета
a,Податочно рударство,летен,Трета
a,Процесирање на сигналите,летен,Трета
a,Процесна роботика,летен,Трета
a,Современи компјутерски архитектури,летен,Трета
a,Статистичко моделирање,летен,Трета
a,Процесирање на сигналите,летен,Трета
a,Електронска и мобилна трговија,летен,Трета
a,Интегрирани системи,летен,Трета
a,Формални јазици и автомати,летен,Трета
a,Дистрибуирани системи,зимски,Четврта
a,Пресметување во облак,зимски,Четврта
a,Администрација на бази на податоци,зимски,Четврта
a,Анализа и дизајн на ИС,зимски,Четврта
a,Веб базирани системи,зимски,Четврта
a,Вовед во биоинформатиката,зимски,Четврта
a,Вовед во паметни градови,зимски,Четврта
a,Дигитална постпродукција,зимски,Четврта
a,Дистрибуирано складирање на податоци,зимски,Четврта
a,Имплементација на системи со слободен и отворен код,зимски,Четврта
a,Иновации во ИКТ,зимски,Четврта
a,Машинска визија,зимски,Четврта
a,Методологија на истражувањето во ИКТ,зимски,Четврта
a,Мобилни информациски системи,зимски,Четврта
a,Мобилни платформи и програмирање,зимски,Четврта
a,Мрежна и мобилна форензика,зимски,Четврта
a,Оптички мрежи,зимски,Четврта
a,Софтверски дефинирани мрежи,зимски,Четврта
a,Интернет на нештата,зимски,Четврта
a,Напредна интеракција човек компјутер,зимски,Четврта
a,Програмирање на видео игри,зимски,Четврта
a,Социјални мрежи и медиуми,зимски,Четврта
a,Програмски парадигми,зимски,Четврта
a,Автономна роботика,зимски,Четврта
a,Вовед во анализа на временските серии,зимски,Четврта
a,Вовед во препознавање на облици,зимски,Четврта
a,Менаџмент информациски системи,зимски,Четврта
a,Моделирање и симулација,зимски,Четврта
a,Обработка на природните јазици,зимски,Четврта
a,Операциони истражувања,зимски,Четврта
a,Рударење на масивни податоци,зимски,Четврта
a,Системи за поддршка при одлучувањето,зимски,Четврта
a,Софтвер за вградливи системи,зимски,Четврта
a,Компјутерски поддржано производство,зимски,Четврта
a,Блоковски вериги и криптовалути,летен,Четврта
a,Веб пребарувачки системи,летен,Четврта
a,Географски информациски системи,летен,Четврта
a,Етичко хакирање,летен,Четврта
a,Интелигентни системи,летен,Четврта
a,Мобилни апликации,летен,Четврта
a,Моделирање и менаџирање на бизнис процеси,летен,Четврта
a,Модерни трендови во роботика,летен,Четврта
a,Напредни бази на податоци,летен,Четврта
a,Напредни теми од криптографија,летен,Четврта
a,Неструктурирани бази на податоци,летен,Четврта
a,Претприемништво,летен,Четврта
a,Складови на податоци и аналитичка обработка,летен,Четврта
